date,open,high,low,close,adjClose,volume
2018-10-16,70.95,76.24,66.74,75.92,75.92,21867800
2018-10-15,74.63,77.14,73.00,76.13,76.13,3099100
2018-10-12,76.02,76.50,72.37,75.00,75.00,3636400
2018-10-11,67.35,72.99,67.08,69.29,69.29,4777600
2018-10-10,73.65,74.21,67.70,68.02,68.02,4593200
2018-10-09,74.69,76.85,73.82,74.33,74.33,2924900
2018-10-08,75.52,75.89,71.46,74.09,74.09,2975100
2018-10-05,78.15,79.99,74.60,76.62,76.62,2516700
2018-10-04,80.16,80.50,76.09,78.09,78.09,2458700
2018-10-03,80.35,81.82,79.63,80.90,80.90,2026800
2018-10-02,83.00,83.63,78.59,79.57,79.57,2844600
2018-10-01,87.00,87.55,83.20,83.75,83.75,2150800
2018-09-28,85.50,87.87,85.50,86.28,86.28,1843800
2018-09-27,85.01,86.86,84.80,85.72,85.72,1211000
2018-09-26,88.09,88.88,84.55,84.79,84.79,1800900
2018-09-25,83.87,87.97,83.68,87.70,87.70,2658800
2018-09-24,82.35,84.39,80.77,83.36,83.36,1808200
2018-09-21,85.31,86.24,83.27,83.73,83.73,1462700
2018-09-20,83.30,85.16,81.18,84.83,84.83,2203400
2018-09-19,85.31,86.48,81.30,82.87,82.87,1857500
2018-09-18,84.35,86.80,84.32,85.38,85.38,2159300
2018-09-17,87.01,87.24,83.01,84.41,84.41,2230400
2018-09-14,85.77,87.50,85.58,87.28,87.28,1786700
2018-09-13,85.22,86.82,84.00,85.31,85.31,2312700
2018-09-12,85.90,86.21,81.50,85.01,85.01,2234800
2018-09-11,83.81,87.22,83.51,85.29,85.29,2296900
2018-09-10,82.51,84.68,81.73,84.31,84.31,1596700
2018-09-07,80.00,84.83,79.71,82.32,82.32,1816300
2018-09-06,82.00,82.49,78.92,80.50,80.50,2019200
2018-09-05,86.71,86.90,79.68,81.71,81.71,3697300
2018-09-04,82.27,87.91,81.04,87.11,87.11,3705400
2018-08-31,79.51,81.20,79.51,80.66,80.66,927200
2018-08-30,80.80,81.56,79.67,79.99,79.99,1237400
2018-08-29,80.17,81.73,79.89,80.99,80.99,1090900
2018-08-28,80.80,81.54,79.82,80.22,80.22,1558900
2018-08-27,81.50,81.98,79.84,80.31,80.31,2374100
2018-08-24,81.78,82.78,80.14,81.16,81.16,2743900
2018-08-23,77.13,81.43,76.67,80.55,80.55,4340900
2018-08-22,75.89,76.69,75.21,76.44,76.44,1697300
2018-08-21,78.00,78.00,75.50,75.79,75.79,2041400
2018-08-20,77.60,78.94,76.63,78.05,78.05,2064000
2018-08-17,75.70,77.65,74.52,77.49,77.49,1625300
2018-08-16,75.93,76.73,75.29,75.70,75.70,1658200
2018-08-15,73.14,75.88,73.11,74.63,74.63,2348700
2018-08-14,74.85,76.99,74.10,76.75,76.75,2774800
2018-08-13,77.40,78.09,73.76,74.17,74.17,3175200
2018-08-10,77.07,79.47,76.60,77.49,77.49,1955100
2018-08-09,74.50,79.20,74.00,77.92,77.92,3927800
2018-08-08,74.06,76.97,73.08,73.87,73.87,3642900
2018-08-07,74.75,77.31,72.24,75.10,75.10,12199900
2018-08-06,62.05,63.59,62.01,63.27,63.27,4132200
2018-08-03,62.50,62.89,60.80,62.00,62.00,2208400
2018-08-02,58.88,62.49,58.51,62.25,62.25,2233800
2018-08-01,57.90,59.42,57.31,59.30,59.30,2682200
2018-07-31,57.78,58.69,55.58,57.89,57.89,2434800
2018-07-30,60.41,60.98,56.13,58.00,58.00,2330600
2018-07-27,64.08,64.85,59.34,60.71,60.71,1910400
2018-07-26,63.20,64.47,62.23,64.03,64.03,1272200
2018-07-25,62.09,64.52,61.76,64.14,64.14,877400
2018-07-24,64.50,64.75,61.06,62.06,62.06,1917000
2018-07-23,62.66,64.19,61.88,63.91,63.91,1296200
2018-07-20,62.94,63.24,62.20,62.66,62.66,721300
2018-07-19,64.00,64.20,62.62,62.88,62.88,1206000
2018-07-18,65.00,65.37,63.44,63.96,63.96,1906400
2018-07-17,60.51,65.01,60.33,65.00,65.00,4037400
2018-07-16,61.12,61.78,60.80,61.14,61.14,1086000
2018-07-13,61.60,62.39,60.11,61.14,61.14,1299300
2018-07-12,59.32,61.69,59.03,61.40,61.40,1523600
2018-07-11,58.51,59.42,58.28,58.73,58.73,915500
2018-07-10,59.35,59.77,58.27,58.69,58.69,1062500
2018-07-09,59.47,59.47,57.39,58.79,58.79,1326500
2018-07-06,56.87,58.58,56.44,58.47,58.47,1021300
2018-07-05,56.61,57.47,56.49,57.00,57.00,1990700
2018-07-03,56.93,57.27,55.73,56.17,56.17,724800
2018-07-02,55.25,56.85,54.50,56.85,56.85,1040300
2018-06-29,56.43,56.83,55.36,56.02,56.02,1635100
2018-06-28,55.00,56.19,53.37,55.84,55.84,2483700
2018-06-27,58.50,59.98,54.22,54.30,54.30,2768800
2018-06-26,55.00,57.31,54.16,57.30,57.30,2388600
2018-06-25,55.25,56.15,53.17,54.47,54.47,2605200
2018-06-22,57.53,57.55,53.89,55.25,55.25,6460700
2018-06-21,59.90,59.90,56.40,56.96,56.96,3098600
2018-06-20,60.03,61.13,59.35,59.52,59.52,2103100
2018-06-19,60.27,61.28,57.08,59.80,59.80,3075500
2018-06-18,59.12,62.34,58.40,61.61,61.61,3628100
2018-06-15,58.61,60.00,58.04,59.95,59.95,1540300
2018-06-14,59.74,60.24,58.82,59.00,59.00,2274400
2018-06-13,60.16,60.35,58.88,59.56,59.56,1709200
2018-06-12,58.34,60.14,58.34,59.97,59.97,1565600
2018-06-11,58.19,58.54,57.17,58.12,58.12,1053800
2018-06-08,56.15,58.30,56.03,58.06,58.06,1746600
2018-06-07,58.86,59.00,55.09,56.40,56.40,2856800
2018-06-06,57.55,58.79,57.35,58.72,58.72,1428300
2018-06-05,57.76,58.41,56.86,57.48,57.48,2323700
2018-06-04,57.38,57.70,55.83,57.47,57.47,1636200
2018-06-01,54.55,57.71,54.35,57.48,57.48,3092700
2018-05-31,54.21,55.00,53.81,53.97,53.97,1242600
2018-05-30,54.00,54.40,53.55,54.03,54.03,1351600
2018-05-29,52.89,54.47,52.85,53.97,53.97,1672000
2018-05-25,53.03,53.58,52.79,53.25,53.25,1323100
2018-05-24,52.50,53.34,51.82,53.22,53.22,2590000
2018-05-23,53.16,53.20,51.88,52.54,52.54,2802400
2018-05-22,55.90,55.92,53.86,53.93,53.93,1599100
2018-05-21,55.68,56.66,54.55,55.24,55.24,3383000
2018-05-18,53.57,55.79,53.57,55.14,55.14,2479300
2018-05-17,53.75,54.48,53.34,53.73,53.73,1805500
2018-05-16,52.88,54.47,52.58,53.72,53.72,2541700
2018-05-15,51.29,53.45,50.57,53.13,53.13,5109400
2018-05-14,53.39,56.00,52.18,52.52,52.52,5312100
2018-05-11,53.94,54.94,53.13,53.58,53.58,3011700
2018-05-10,52.44,55.20,51.66,54.91,54.91,4159700
2018-05-09,48.15,53.55,48.15,52.41,52.41,9272700
2018-05-08,44.05,44.69,43.64,44.35,44.35,3159100
2018-05-07,43.82,44.51,43.25,44.09,44.09,2171200
2018-05-04,43.50,44.62,43.00,43.50,43.50,1890600
2018-05-03,43.00,43.85,41.43,43.71,43.71,1632200
2018-05-02,42.64,44.74,42.64,43.22,43.22,3107400
2018-05-01,41.93,42.97,41.68,42.55,42.55,1964700
2018-04-30,41.81,42.37,41.41,42.21,42.21,2122800
2018-04-27,42.74,42.88,41.13,41.65,41.65,1367800
2018-04-26,41.52,42.65,41.12,42.39,42.39,1491700
2018-04-25,40.54,41.36,39.59,41.28,41.28,1324100
2018-04-24,41.66,41.97,39.74,40.62,40.62,1570600
2018-04-23,41.41,41.80,40.87,41.40,41.40,972400
2018-04-20,41.80,42.39,41.00,41.22,41.22,1669100
2018-04-19,42.25,42.31,41.61,42.11,42.11,1792300
2018-04-18,41.41,42.51,40.96,42.34,42.34,1884400
2018-04-17,39.88,41.35,39.82,41.17,41.17,1635300
2018-04-16,39.36,39.76,38.82,39.51,39.51,887300
2018-04-13,39.88,40.18,38.65,39.21,39.21,1088500
2018-04-12,39.50,39.79,38.65,39.70,39.70,1727400
2018-04-11,38.24,40.15,38.00,38.97,38.97,1779700
2018-04-10,38.00,38.83,37.13,38.21,38.21,1721200
2018-04-09,37.48,38.39,36.78,36.87,36.87,1280200
2018-04-06,37.63,38.37,36.68,37.04,37.04,1298000
2018-04-05,38.80,39.09,37.66,38.09,38.09,1477200
2018-04-04,36.24,38.47,36.07,38.29,38.29,1533300
2018-04-03,37.13,37.56,36.33,37.32,37.32,1328000
2018-04-02,37.85,38.51,36.45,36.65,36.65,1441500
2018-03-29,37.64,38.67,37.01,38.18,38.18,1776600
2018-03-28,38.61,38.97,36.76,37.43,37.43,3370600
2018-03-27,42.37,42.54,35.89,38.73,38.73,2962900
2018-03-26,40.58,42.14,39.94,42.06,42.06,1890200
2018-03-23,41.73,41.73,39.93,39.93,39.93,2024000
2018-03-22,40.73,42.41,40.30,41.65,41.65,2405400
2018-03-21,40.89,42.23,40.52,41.30,41.30,1665100
2018-03-20,40.34,41.22,39.90,40.89,40.89,1431500
2018-03-19,40.56,41.29,39.53,40.31,40.31,2515700
2018-03-16,40.67,41.38,40.40,41.02,41.02,1351300
2018-03-15,41.00,41.20,39.93,40.78,40.78,1340800
2018-03-14,40.00,40.89,39.35,40.79,40.79,1815900
2018-03-13,41.08,41.94,38.95,39.57,39.57,3175500
2018-03-12,39.67,41.38,39.65,41.01,41.01,2900600
2018-03-09,39.41,39.93,38.84,39.51,39.51,2218400
2018-03-08,39.43,39.50,38.66,38.85,38.85,2305100
2018-03-07,37.40,39.65,37.26,39.23,39.23,2899700
2018-03-06,38.23,38.58,36.86,38.32,38.32,2607900
2018-03-05,37.15,38.99,36.73,38.23,38.23,4382800
